Cycle,HJD_UTC,BJD_TDB,O-C(days),Error,Date,Source
72965,2454185.43707,2454185.43782,0.00121714873239398,9.6E-4,2007 Mar 25,AAVSO
72972,2454186.3815,2454186.38225,0.00107784476131201,8.3E-4,2007 Mar 26,AAVSO
75773,2454564.34425,2454564.34502,0.00118787586688995,4.6E-4,2008 Apr 07,AAVSO
78308,2454906.41329,2454906.41408,0.00122144958004355,3.5E-4,2009 Apr 15,AAVSO
78316,2454907.49267,2454907.49346,0.00109367398545146,4.2E-4,2009 Apr 16,AAVSO
78506,2454933.13097,2454933.13176,0.00108400080353022,1.5E-4,2009 Apr 11,60cm
80931,2455260.35696,2455260.35775,0.00127949053421617,4.9E-4,2010 Mar 04,AAVSO
81065,2455278.43829,2455278.43908,8.54247249662876E-4,4E-4,2010 Mar 22,AAVSO
83673,2455630.35819,2455630.35898,0.001219367608428,3.1E-4,2011 Mar 09,AAVSO
83856,2455655.05174,2455655.05253,0.00102899828925729,1E-4,2011 Apr 03,85cm
83896,2455660.44931,2455660.4501,0.00106011983007193,3.6E-4,2011 Apr 08,AAVSO
83910,2455662.33855,2455662.33934,0.00116151245310903,3.4E-4,2011 Apr 10,AAVSO
86014,2455946.24897,2455946.24975,0.00102650187909603,9E-5,2012 Jan 19,1m
86014,2455946.24899,2455946.24977,0.0010465020313859,1E-4,2012 Jan 19,60cm
86096,2455957.31347,2455957.31425,5.71800861507654E-4,8E-5,2012 Jan 30,60cm
86356,2455992.39779,2455992.39857,8.89090821146965E-4,7.7E-4,2012 Mar 05,AAVSO
86453,2456005.48682,2456005.4876,8.87310598045588E-4,1.8E-4,2012 Mar 18,AAVSO
86461,2456006.56645,2456006.56723,0.0010095345787704,2.1E-4,2012 Mar 20,AAVSO
86468,2456007.51094,2456007.51171,9.20230988413095E-4,7.7E-4,2012 Mar 21,AAVSO
86468,2456007.51094,2456007.51171,9.20230988413095E-4,2.3E-4,2012 Mar 21,AAVSO
86470,2456007.78064,2456007.78141,7.43286684155464E-4,2.9E-4,2012 Mar 21,AAVSO
86475,2456008.45567,2456008.45644,0.0010809269733727,2.1E-4,2012 Mar 21,AAVSO
86483,2456009.53517,2456009.53595,0.00108315143734217,1.3E-4,2012 Mar 23,AAVSO
86505,2456012.5035,2456012.50428,7.66768120229244E-4,4.6E-4,2012 Mar 26,AAVSO
86513,2456013.58294,2456013.58372,6.98992516845465E-4,5.4E-4,2012 Mar 27,AAVSO
86520,2456014.52754,2456014.52832,7.29688908904791E-4,2.6E-4,2012 Mar 28,AAVSO
86532,2456016.14684,2456016.14762,7.68024940043688E-4,7E-5,2012 Mar 29,85cm
86535,2456016.5517,2456016.55248,8.1260921433568E-4,5.4E-4,2012 Mar 30,AAVSO
86550,2456018.57622,2456018.5767,9.55529976636171E-4,2.7E-4,2012 Apr 01,AAVSO
86557,2456019.52025,2456019.52102,7.06226099282503E-4,5.9E-4,2012 Apr 02,AAVSO
86594,2456024.51337,2456024.51412,0.00108276354148984,2.2E-4,2012 Apr 07,AAVSO
86595,2456024.64792,2456024.6487,7.24291428923607E-4,2.4E-4,2012 Apr 07,AAVSO
86595,2456024.64818,2456024.64896,9.84291546046734E-4,0.00142,2012 Apr 07,AAVSO
86625,2456028.69608,2456028.69685,7.20132607966661E-4,2.3E-4,2012 Apr 11,AAVSO
86632,2456029.64104,2456029.64182,0.00112082902342081,4.2E-4,2012 Apr 12,AAVSO
86633,2456029.77584,2456029.77661,9.72357112914324E-4,1.7E-4,2012 Apr 12,AAVSO
86639,2456030.58548,2456030.58625,9.81525518000126E-4,4.9E-4,2012 Apr 13,AAVSO
86646,2456031.52992,2456031.5307,8.62221233546734E-4,0.00193,2012 Apr 14,AAVSO
86887,2456064.04999,2456064.05077,7.60478433221579E-4,4E-5,2012 May 16,2.4m
86676,2456035.57794,2456035.57872,7.28062819689512E-4,2.8E-4,2012 Apr 18,AAVSO
86683,2456036.52268,2456036.52346,8.98758415132761E-4,3.7E-4,2012 Apr 19,AAVSO
86705,2456039.49136,2456039.49216,9.52375587075949E-4,4.5E-4,2012 Apr 21,AAVSO
86742,2456044.484,2456044.48478,8.48913099616766E-4,6.3E-4,2012 Apr 26,AAVSO
86757,2456046.50831,2456046.50908,0.00107183353975415,4.8E-4,2012 Apr 29,AAVSO
88558,2456289.53244,2456289.53322,0.00102382805198431,4.8E-4,2012 Dec 28,AAVSO
88623,2456298.30302,2456298.3038,6.03150110691786E-4,9E-5,2013 Jan 05,60cm
88958,2456343.50785,2456343.50863,0.00104504264891148,3.5E-4,2013 Jan 20,AAVSO
89039,2456354.43772,2456354.4385,8.98813828825951E-4,0.00114,2013 Mar 02,AAVSO
89054,2456356.46194,2456356.46272,0.00104173459112644,9.7E-4,2013 Mar 04,AAVSO
89077,2456359.5649,2456359.56568,4.16879076510668E-4,2.8E-4,2013 Mar 08,AAVSO
89078,2456359.70049,2456359.70127,0.00106840720400214,2.1E-4,2013 Mar 08,AAVSO
91351,2456666.41564,2456666.41641,0.00106163509190083,1.8E-4,2014 Jan 08,2.16m
91810,2456728.35223,2456728.353,8.93004238605499E-4,5E-4,2014 Mar 11,AAVSO
91892,2456739.41706,2456739.41783,7.68302939832211E-4,3.8E-4,2014 Mar 22,AAVSO
93937,2457015.36613,2457015.36689,6.53138849884272E-4,5E-5,2014 Dec 23,1m
94336,2457069.20685,2457069.20761,9.22825187444687E-4,1.5E-4,2015 Feb 15,1m
94403,2457078.24743,2457078.24819,6.2520382925868E-4,8E-5,2015 Feb 24,1m
94473,2457087.6931,2457087.69386,6.02166168391705E-4,4.9E-4,2015 Apr 06,AAVSO
