Cycle,HJD_UTC,BJD_TDB,O-C(days),Error,Reference
60475,2452500.055,2452500.05573,6.41967635601759E-4,5E-4,1
72965,2454185.437,2454185.43776,0.00115714874118567,5E-4,1
72972,2454186.3815,2454186.38226,0.00108784483745694,5E-4,1
75692,2454553.4141,2454553.41487,0.00105410534888506,5E-4,1
75773,2454564.3441,2454564.34487,0.00103787612169981,5E-4,1
77692,2454823.2909,2454823.29168,9.20178834348917E-4,5E-4,1
78308,2454906.4132,2454906.41399,0.00113144936040044,5E-4,1
78316,2454907.4927,2454907.49349,0.00112367374822497,5E-4,1
80931,2455260.357,2455260.35779,0.00131949037313461,5E-4,1
81065,2455278.4382,2455278.43899,7.64247495681047E-4,5E-4,1
83673,2455630.3581,2455630.35889,0.00112936738878489,5E-4,1
83896,2455660.4491,2455660.44989,8.5011962801218E-4,5E-4,1
83910,2455662.3385,2455662.33929,0.00111151253804564,5E-4,1
0,2444339.65087,2444339.65142,4.23936173319817E-4,1E-4,2
8,2444340.73055,2444340.7311,5.96160534769297E-4,1E-4,2
68,2444348.82649,2444348.82704,2.27842479944229E-4,1E-4,2
2166,2444631.92758,2444631.92813,4.03664074838161E-4,1E-4,2
2499,2444676.86195,2444676.86251,2.72500328719616E-4,1E-4,2
2832,2444721.79636,2444721.79692,1.71336811035872E-4,1E-4,2
23914,2447566.56813,2447566.56879,-8.24589282274246E-4,1E-4,3
24276,2447615.41619,2447615.41685,-4.91439830511808E-4,1E-4,3
24277,2447615.55065,2447615.55131,-9.69911925494671E-4,1E-4,3
24284,2447616.49516,2447616.49582,-0.00102921575307846,1E-4,3
24299,2447618.51922,2447618.51988,-0.00104629527777433,1E-4,3
24306,2447619.46374,2447619.4644,-0.00109559902921319,1E-4,3
24313,2447620.40856,2447620.40922,-8.44902824610472E-4,1E-4,3
24321,2447621.48834,2447621.489,-5.72678167372942E-4,1E-4,3
24328,2447622.43257,2447622.43323,-9.11982264369726E-4,1E-4,3
26543,2447921.32167,2447921.32234,-5.17380423843861E-4,1E-4,4
26544,2447921.45633,2447921.457,-7.95852392911911E-4,1E-4,4
26757,2447950.19842,2447950.19908,-6.10380433499813E-4,1E-4,4
26758,2447950.33321,2447950.33387,-7.588523440063E-4,1E-4,4
29396,2448306.301,2448306.30167,-6.47891312837601E-4,1E-4,4
29397,2448306.43599,2448306.43666,-5.96363097429276E-4,1E-4,4
43196,2450168.45238,2450168.45314,-9.09818336367607E-5,1E-4,5
43197,2450168.58665,2450168.58741,-7.59453512728214E-4,1E-4,5
43203,2450169.3968,2450169.39756,-2.40285880863667E-4,1E-4,5
43204,2450169.53102,2450169.53178,-9.58757940679789E-4,1E-4,5
43219,2450171.55476,2450171.55552,-0.00129583710804582,1E-4,5
43225,2450172.36459,2450172.36535,-0.00109666865319014,1E-4,5
43226,2450172.5002,2450172.50096,-4.25140839070082E-4,1E-4,5
43233,2450173.44372,2450173.44448,-0.00147444428876042,1E-4,5
43234,2450173.57951,2450173.58027,-6.22916501015425E-4,1E-4,5

Note: (1)O-C Getway database; (2)Penning et al. (1984); (3)Dhillon et al. (1997); (4) Ashoka et al. (1994); (5)P.J.Groot et al. (2001).
